date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:57	2383/2383	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc170a8-94f%22	https://demo.dashboardpack.com/user-management-html/img/menu-icon/10.svg	demo.dashboardpack.com/user-management-html/img/menu-icon/10.svg	(from https://demo.dashboardpack.com/user-management-html/)
21:32:58	109591/109591	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fed-1ac17%22	https://demo.dashboardpack.com/user-management-html/dark_sidebar.html	demo.dashboardpack.com/user-management-html/dark_sidebar.html	(from https://demo.dashboardpack.com/user-management-html/)
21:32:59	109573/109573	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff9-1ac05%22	https://demo.dashboardpack.com/user-management-html/light_sidebar.html	demo.dashboardpack.com/user-management-html/light_sidebar.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:00	109932/109932	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ffc-1ad6c%22	https://demo.dashboardpack.com/user-management-html/Minimized_Aside.html	demo.dashboardpack.com/user-management-html/Minimized_Aside.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:01	32468/32468	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff0-7ed4%22	https://demo.dashboardpack.com/user-management-html/empty_page.html	demo.dashboardpack.com/user-management-html/empty_page.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:02	109586/109586	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16ff2-1ac12%22	https://demo.dashboardpack.com/user-management-html/fixed_footer.html	demo.dashboardpack.com/user-management-html/fixed_footer.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:03	1141/1141	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc170a9-475%22	https://demo.dashboardpack.com/user-management-html/img/menu-icon/13.svg	demo.dashboardpack.com/user-management-html/img/menu-icon/13.svg	(from https://demo.dashboardpack.com/user-management-html/)
21:33:04	50760/50760	---MCZ	200	added ('OK')	text/html	etag:W/%225fc17000-c648%22	https://demo.dashboardpack.com/user-management-html/Products.html	demo.dashboardpack.com/user-management-html/Products.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:05	47694/47694	---MCZ	200	added ('OK')	text/html	etag:W/%225fc17001-ba4e%22	https://demo.dashboardpack.com/user-management-html/Product_Details.html	demo.dashboardpack.com/user-management-html/Product_Details.html	(from https://demo.dashboardpack.com/user-management-html/)
21:33:06	43049/43049	---MCZ	200	added ('OK')	text/html	etag:W/%225fc16fe8-a829%22	https://demo.dashboardpack.com/user-management-html/Cart.html	demo.dashboardpack.com/user-management-html/Cart.html	(from https://demo.dashboardpack.com/user-management-html/)
